case_id,symptom,topology_note,show_outputs,expected_fault,expected_osi_layer,concept_tag,severity
CASE-001,PC1 cannot communicate with PC2 in same VLAN,2 Switches connected by Trunk,"--- show vlan brief ---\n\nVLAN Name Status Ports\n---- ------------------ --------- ------------------\n1 default active Fa0/1, Fa0/2\n10 Sales active \n\n--- show interface Fa0/3 switchport ---\n\nName: Fa0/3\nSwitchport: Enabled\nAdministrative Mode: static access\nOperational Mode: static access\nAccess Mode VLAN: 1 (default)",Port Fa0/3 not assigned to VLAN 10,Layer 2,VLAN,Medium
CASE-002,Switches are not passing VLAN traffic between each other,2 Switches connected on Fa0/24,"--- show interfaces trunk ---\n\nPort        Mode         Encapsulation  Status        Native vlan\n\nPort        Vlans allowed on trunk\n\nPort        Vlans allowed and active in management domain\n\nPort        Vlans in spanning tree forwarding state and not pruned\n\n--- show interface Fa0/24 switchport ---\n\nName: Fa0/24\nAdministrative Mode: static access\nOperational Mode: static access",Trunk port Fa0/24 configured as access port,Layer 2,VLAN,High
CASE-003,PC in VLAN 20 cannot ping gateway on Router,Router-on-a-stick topology,"--- show interfaces trunk ---\n\nPort        Mode         Encapsulation  Status        Native vlan\nFa0/1       on           802.1q         trunking      1\n\nPort        Vlans allowed on trunk\nFa0/1       1-10\n\n--- show running-config interface fa0/1 ---\n\ninterface FastEthernet0/1\n switchport trunk allowed vlan 1-10\n switchport mode trunk",VLAN 20 not allowed on trunk,Layer 2,VLAN,High
CASE-004,PC on Switch 1 cannot reach PC on Switch 2 in VLAN 30,2 Switches connected via Trunk,"--- show vlan brief ---\n\nVLAN Name Status Ports\n---- ------------------ --------- ------------------\n1 default active Fa0/1\n\n--- show interfaces trunk ---\n\nPort Mode Encapsulation Status Native vlan\nFa0/24 on 802.1q trunking 1\n\nPort Vlans allowed on trunk\nFa0/24 1-4094",VLAN 30 missing from switch database,Layer 2,VLAN,Medium
CASE-005,PC cannot reach remote network 10.0.0.0/24,2 Routers connected via serial,"--- show ip route ---\n\nGateway of last resort is not set\n\nC    192.168.1.0/24 is directly connected, FastEthernet0/0\nC    192.168.2.0/24 is directly connected, Serial0/0/0",Missing static route to 10.0.0.0/24 network,Layer 3,Routing,High
CASE-006,Traffic to internet is failing,Router connected to ISP,"--- show ip route ---\n\nGateway of last resort is not set\n\nC    192.168.1.0/24 is directly connected, FastEthernet0/0\nS    0.0.0.0/0 [1/0] via 10.1.1.254\n\n--- ping 8.8.8.8 ---\n\nType escape sequence to abort.\nSending 5, 100-byte ICMP Echos to 8.8.8.8, timeout is 2 seconds:\n.....\nSuccess rate is 0 percent (0/5)",Missing default route or wrong next hop,Layer 3,Routing,High
CASE-007,Router-on-a-stick not routing between VLAN 10 and 20,Router connected to switch trunk,"--- show ip interface brief ---\n\nInterface                  IP-Address      OK? Method Status                Protocol\nFastEthernet0/0            unassigned      YES unset  up                    up\nFastEthernet0/0.10         192.168.10.1    YES manual up                    up\nFastEthernet0/0.20         192.168.20.1    YES manual up                    up\n\n--- show running-config interface FastEthernet0/0.20 ---\n\ninterface FastEthernet0/0.20\n encapsulation dot1Q 30\n ip address 192.168.20.1 255.255.255.0",Subinterface Fa0/0.20 configured with wrong VLAN encapsulation,Layer 3,Routing,High
CASE-008,Pings to remote branch fail,Two routers R1 and R2,"--- show ip route ---\n\nS    192.168.3.0/24 [1/0] via 10.1.1.5\n\n--- show ip int brief ---\n\nInterface                  IP-Address      OK? Method Status                Protocol\nSerial0/0/0                10.1.1.1        YES manual up                    up\n\n--- ping 10.1.1.5 ---\n\nSuccess rate is 0 percent (0/5)",Wrong next-hop address in static route,Layer 3,Routing,Medium
CASE-009,PC does not get an IP address from Router DHCP,Router acting as DHCP server for local LAN,"--- show run | section dhcp ---\n\nip dhcp pool LAN_POOL\n network 192.168.2.0 255.255.255.0\n default-router 192.168.1.1\n\n--- show ip interface brief ---\n\nInterface                  IP-Address      OK? Method Status                Protocol\nFastEthernet0/0            192.168.1.1     YES manual up                    up",DHCP pool network mismatch with interface IP,Layer 3,DHCP,High
CASE-010,PCs get IP addresses but cannot reach the internet,Router DHCP server,"--- show ip dhcp pool ---\n\nPool LAN_POOL :\n Utilization mark (high/low)    : 100 / 0\n Subnet size (first/next)       : 0 / 0\n Total addresses                : 254\n Leased addresses               : 10\n Pending event                  : none\n 1 subnet is currently in the pool :\n Current index        IP address range                    Leased addresses\n 192.168.1.1          192.168.1.1      - 192.168.1.254     10\n\n--- show run | section dhcp ---\n\nip dhcp pool LAN_POOL\n network 192.168.1.0 255.255.255.0\n dns-server 8.8.8.8",Missing default-router in DHCP pool configuration,Layer 3,DHCP,High
CASE-011,PC gets an IP address but reports IP conflict,Router DHCP server,"--- show ip dhcp binding ---\n\nBindings from all pools not associated with VRF:\nIP address          Client-ID/              Lease expiration        Type\n                    Hardware address/\n                    User name\n192.168.1.1         01aa.bbcc.ddee.ff       Mar 01 1993 12:00 AM    Automatic\n\n--- show ip interface brief ---\n\nInterface                  IP-Address      OK? Method Status                Protocol\nFastEthernet0/0            192.168.1.1     YES manual up                    up\n\n--- show run | include ip dhcp excluded ---\n",Missing ip dhcp excluded-address for the router interface IP,Layer 3,DHCP,Medium
CASE-012,PC in VLAN 10 cannot get DHCP IP from central server,Router-on-a-stick and central DHCP server,"--- show run interface FastEthernet0/0.10 ---\n\ninterface FastEthernet0/0.10\n encapsulation dot1Q 10\n ip address 192.168.10.1 255.255.255.0",Missing ip helper-address on gateway interface,Layer 3,DHCP,High
CASE-013,Router cannot resolve hostnames to ping them,Router trying to ping google.com,"--- show run | include ip name-server ---\n\nip name-server 8.8.8.8\n\n--- show run | include ip domain-lookup ---\n\nno ip domain-lookup",DNS lookups disabled on router,Layer 7,DNS,Medium
CASE-014,Router fails to resolve internal server name,Router local DNS resolution,"--- ping SERVER-A ---\n\nTranslating ""SERVER-A""...domain server (10.1.1.5)\n\n% Unrecognized host or address, or protocol not running.\n\n--- show run | include ip host ---\n\nip host SERVER-B 192.168.1.100",Missing local ip host entry for SERVER-A,Layer 7,DNS,Low
CASE-015,PC cannot browse websites by name,Router as DHCP and DNS forwarder,"--- show run | section dhcp ---\n\nip dhcp pool LAN\n network 192.168.1.0 255.255.255.0\n default-router 192.168.1.1\n dns-server 10.99.99.99\n\n--- ping 10.99.99.99 ---\n\nSending 5, 100-byte ICMP Echos to 10.99.99.99, timeout is 2 seconds:\n.....\nSuccess rate is 0 percent (0/5)",DHCP assigning unreachable DNS server IP,Layer 7,DNS,High
CASE-016,Router DNS lookups fail to external server,Router configured with DNS server,"--- show run | include ip name-server ---\n\nip name-server 192.168.50.2\n\n--- show ip route ---\n\nGateway of last resort is 10.0.0.1 to network 0.0.0.0\nC 10.0.0.0/24 is directly connected, FastEthernet0/0\nS 0.0.0.0/0 [1/0] via 10.0.0.1",DNS server IP unreachable externally,Layer 7,DNS,Medium
CASE-017,PC1 cannot ping PC2 in another subnet,Router with ACL on interface,"--- show access-lists ---\n\nStandard IP access list 10\n    10 permit 192.168.1.0, wildcard bits 0.0.0.255\n\n--- show ip interface Fa0/1 ---\n\nFastEthernet0/1 is up, line protocol is up\n  Internet address is 192.168.2.1/24\n  Outgoing access list is 10\n  Inbound  access list is not set",Implicit deny in ACL 10 blocking traffic,Layer 4,ACL,High
